UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 20:14 ?        00:00:00 /lib/systemd/systemd --system --deserialize 25
root           2       0  0 20:14 ?        00:00:00 [kthreadd]
root           3       2  0 20:14 ?        00:00:00 [rcu_gp]
root           4       2  0 20:14 ?        00:00:00 [rcu_par_gp]
root           5       2  0 20:14 ?        00:00:00 [slub_flushwq]
root           6       2  0 20:14 ?        00:00:00 [netns]
root           7       2  0 20:14 ?        00:00:00 [kworker/0:0-events]
root           8       2  0 20:14 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 20:14 ?        00:00:00 [kworker/u8:0-flush-253:0]
root          10       2  0 20:14 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 20:14 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 20:14 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 20:14 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 20:14 ?        00:00:00 [rcu_sched]
root          15       2  0 20:14 ?        00:00:00 [migration/0]
root          16       2  0 20:14 ?        00:00:00 [idle_inject/0]
root          17       2  0 20:14 ?        00:00:00 [kworker/0:1-cgroup_destroy]
root          18       2  0 20:14 ?        00:00:00 [cpuhp/0]
root          19       2  0 20:14 ?        00:00:00 [cpuhp/1]
root          20       2  0 20:14 ?        00:00:00 [idle_inject/1]
root          21       2  0 20:14 ?        00:00:00 [migration/1]
root          22       2  0 20:14 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 20:14 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 20:14 ?        00:00:00 [cpuhp/2]
root          26       2  0 20:14 ?        00:00:00 [idle_inject/2]
root          27       2  0 20:14 ?        00:00:00 [migration/2]
root          28       2  0 20:14 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 20:14 ?        00:00:00 [kworker/2:0H-events_highpri]
root          31       2  0 20:14 ?        00:00:00 [cpuhp/3]
root          32       2  0 20:14 ?        00:00:00 [idle_inject/3]
root          33       2  0 20:14 ?        00:00:00 [migration/3]
root          34       2  0 20:14 ?        00:00:00 [ksoftirqd/3]
root          36       2  0 20:14 ?        00:00:00 [kworker/3:0H-events_highpri]
root          37       2  0 20:14 ?        00:00:00 [kdevtmpfs]
root          38       2  0 20:14 ?        00:00:00 [inet_frag_wq]
root          40       2  0 20:14 ?        00:00:00 [kworker/2:1-events]
root          41       2  0 20:14 ?        00:00:00 [kworker/3:1-events]
root          42       2  0 20:14 ?        00:00:00 [kauditd]
root          43       2  0 20:14 ?        00:00:00 [khungtaskd]
root          44       2  0 20:14 ?        00:00:00 [oom_reaper]
root          45       2  0 20:14 ?        00:00:00 [writeback]
root          46       2  0 20:14 ?        00:00:00 [kcompactd0]
root          47       2  0 20:14 ?        00:00:00 [ksmd]
root          48       2  0 20:14 ?        00:00:00 [khugepaged]
root          94       2  0 20:14 ?        00:00:00 [kintegrityd]
root          95       2  0 20:14 ?        00:00:00 [kblockd]
root          96       2  0 20:14 ?        00:00:00 [blkcg_punt_bio]
root          97       2  0 20:14 ?        00:00:00 [tpm_dev_wq]
root          98       2  0 20:14 ?        00:00:00 [ata_sff]
root          99       2  0 20:14 ?        00:00:00 [md]
root         100       2  0 20:14 ?        00:00:00 [edac-poller]
root         101       2  0 20:14 ?        00:00:00 [devfreq_wq]
root         102       2  0 20:14 ?        00:00:00 [watchdogd]
root         104       2  0 20:14 ?        00:00:00 [kworker/3:1H-kblockd]
root         105       2  0 20:14 ?        00:00:00 [kswapd0]
root         106       2  0 20:14 ?        00:00:00 [ecryptfs-kthrea]
root         108       2  0 20:14 ?        00:00:00 [kthrotld]
root         109       2  0 20:14 ?        00:00:00 [irq/49-ACPI:Ged]
